rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,Germany,GER,1558.49,1544,0,UEFA,2018-06-07
2,Brazil,BRA,1430.57,1384,0,CONMEBOL,2018-06-07
3,Belgium,BEL,1298.32,1346,0,UEFA,2018-06-07
4,Portugal,POR,1273.69,1306,0,UEFA,2018-06-07
5,Argentina,ARG,1241.45,1254,0,CONMEBOL,2018-06-07
6,Switzerland,SUI,1198.72,1179,0,UEFA,2018-06-07
7,France,FRA,1198.13,1166,0,UEFA,2018-06-07
8,Poland,POL,1182.61,1128,2,UEFA,2018-06-07
9,Chile,CHI,1134.66,1146,0,CONMEBOL,2018-06-07
10,Spain,ESP,1125.5,1162,-2,UEFA,2018-06-07
11,Peru,PER,1125.39,1106,0,CONMEBOL,2018-06-07
12,Denmark,DEN,1051.44,1054,0,UEFA,2018-06-07
13,England,ENG,1050.84,1040,1,UEFA,2018-06-07
14,Uruguay,URU,1018.41,976,3,CONMEBOL,2018-06-07
15,Mexico,MEX,989.44,1008,0,CONCACAF,2018-06-07
16,Colombia,COL,985.97,989,0,CONMEBOL,2018-06-07
17,Netherlands,NED,980.98,969,2,UEFA,2018-06-07
18,Wales,WAL,953.46,931,3,UEFA,2018-06-07
19,Italy,ITA,951.25,947,1,UEFA,2018-06-07
20,Croatia,CRO,945.18,975,-2,UEFA,2018-06-07
21,Tunisia,TUN,909.91,1012,-7,CAF,2018-06-07
22,Iceland,ISL,908.01,930,0,UEFA,2018-06-07
23,Costa Rica,CRC,884.04,858,2,CONCACAF,2018-06-07
24,Sweden,SWE,879.9,889,-1,UEFA,2018-06-07
25,USA,USA,872.68,880,-1,CONCACAF,2018-06-07
26,Austria,AUT,844.7,841,0,UEFA,2018-06-07
27,Senegal,SEN,837.98,825,1,CAF,2018-06-07
28,Slovakia,SVK,804.36,786,1,UEFA,2018-06-07
29,Northern Ireland,NIR,803.22,837,-2,UEFA,2018-06-07
30,Romania,ROU,781.66,737,2,UEFA,2018-06-07
31,Republic of Ireland,IRL,777.11,776,0,UEFA,2018-06-07
32,Paraguay,PAR,773.18,737,0,CONMEBOL,2018-06-07
33,Venezuela,VEN,754.55,709,6,CONMEBOL,2018-06-07
34,Serbia,SRB,750.75,732,1,UEFA,2018-06-07
35,Ukraine,UKR,732.77,777,-5,UEFA,2018-06-07
36,Australia,AUS,718.33,700,4,AFC,2018-06-07
37,IR Iran,IRN,708.35,727,-1,AFC,2018-06-07
38,Turkey,TUR,706.39,714,-1,UEFA,2018-06-07
39,Congo DR,COD,705.87,711,0,CAF,2018-06-07
40,Bosnia and Herzegovina,BIH,692.93,688,1,UEFA,2018-06-07
41,Morocco,MAR,685.86,681,1,CAF,2018-06-07
42,Scotland,SCO,659.61,735,-8,UEFA,2018-06-07
43,Montenegro,MNE,651.58,671,0,UEFA,2018-06-07
44,Greece,GRE,649.82,657,0,UEFA,2018-06-07
45,Egypt,EGY,649.43,636,1,CAF,2018-06-07
46,Czech Republic,CZE,640.7,647,-1,UEFA,2018-06-07
47,Ghana,GHA,623.69,603,3,CAF,2018-06-07
48,Nigeria,NGA,617.79,635,-1,CAF,2018-06-07
49,Bulgaria,BUL,614.39,583,4,UEFA,2018-06-07
